method,Mesoderm,Myocyte,Myoblast,average_accu
random_celltype,0.0,0.0,0.0,0.0
Seurat(CCA),0.4799572421165153,0.5210656753407683,0.5523101433882103,0.5177776869484979
scDART,-0.18866916087653665,-0.3079306071871128,0.01380775358470525,-0.1609306714929814
simba,0.7236771779796901,0.6090458488228006,0.42697822623473186,0.5865670843457408
scglue,0.7851416354890434,0.7645600991325899,0.40839086563993615,0.6526975334205232
Portal,0.4184927846071619,0.5638166047087979,0.4025491237387147,0.46161950435155813
scJoint,0.3474078033137359,0.9262701363073111,-0.48486457780138076,0.2629377872732221
scBridge,0.7696419027258152,0.45724907063197034,-0.11417950079660119,0.37090382418706147
scglue(multiome),0.731694281133084,0.6765799256505576,0.5539033457249071,0.6540591841695163
scVI,0.6627471940138964,0.6332094175960348,0.4402549123738715,0.5787371746612675
Cobolt,0.26028861571352213,0.07558859975216854,0.7020711630377057,0.3459827928344654
Bindsc,0.5873864243719936,0.41945477075588605,0.5687732342007434,0.5252048097762078
